Fibonaci;1;4;266.783;4
Fibonaci;2;4;28.146;4
Fibonaci;3;4;19.384;4
Fibonaci;4;4;17.159;4
Fibonaci;5;4;17.69;4
Fibonaci;6;4;317.589;4
Fibonaci;7;4;24.567;4
Fibonaci;8;4;27.813;4
Fibonaci;9;4;17.533;4
Fibonaci;10;4;16.678;4
Fibonaci;1;4;23.714;4
Fibonaci;2;4;25.002;4
Fibonaci;3;4;66.325;4
Fibonaci;4;4;18.505;4
Fibonaci;5;4;31.246;4
Fibonaci;6;4;28.096;4
Fibonaci;7;4;19.087;4
Fibonaci;8;4;19.52;4
Fibonaci;9;4;31.158;4
Fibonaci;10;4;31.277;4
Fibonaci;1;2;29.61;4
Fibonaci;2;2;15.42;4
Fibonaci;3;2;101.344;4
Fibonaci;4;2;24.521;4
Fibonaci;5;2;31.812;4
Fibonaci;6;2;16.425;4
Fibonaci;7;2;13.106;4
Fibonaci;8;2;13.671;4
Fibonaci;9;2;25.691;4
Fibonaci;10;2;17.443;4
Fibonaci;1;2;17.122;4
Fibonaci;1;1;4.946;2
Fibonaci;1;2;2.887;1
Fibonaci;1;2;9.887;2
Fibonaci;1;2;25.23;4
Fibonaci;1;4;22.393;4
Fibonaci;1;4;0;4
Fibonaci;1;4;58.269;4
Fibonaci;1;4;299.689;4
Fibonaci;1;4;197.048;4
Fibonaci;1;4;262.389;4
Fibonaci;1;4;29386.3;20
Fibonaci;1;8;28365.9;20
